22.42,49.31
20.01,49.41
22.15,51.45
23.10,50.36
22.42,50.16
19.59,51.16
18.42,52.53
19.19,51.49
19.32,50.04
19.37,51.44
22.12,52.50
21.52,50.53
22.58,53.51
18.41,52.20
19.26,50.04
15.50,52.09
20.15,52.42
21.14,50.48
22.39,54.06
21.32,51.01
22.03,54.15
21.18,53.11
18.00,51.16
22.09,51.34
20.28,52.07
21.33,50.30
21.21,54.13
17.57,52.52
20.41,53.50
22.50,53.46
15.13,52.59
20.48,54.15
19.15,52.30
16.21,53.44
22.30,50.50
18.47,52.42
19.34,52.13
20.36,50.15
20.49,51.50
19.22,51.22
22.17,51.10
19.45,51.35
19.08,50.19
15.59,54.12
18.27,51.16
22.04,53.37
23.07,52.02
20.29,51.48
20.18,51.18
17.55,53.06
22.21,50.07
20.57,51.39
15.59,54.00
23.44,50.59
17.07,53.06
23.52,52.42
16.50,53.44
23.10,53.08
21.16,49.44
22.15,52.20
19.39,52.04
20.55,50.51
19.48,52.41
23.12,52.46
17.33,51.07
15.40,53.02
16.03,54.08
19.52,52.57
22.43,50.32
22.28,49.42
20.07,49.58
19.21,53.30
20.57,53.52
22.38,50.25
20.54,54.05
15.24,52.31
18.01,51.54
20.45,51.06
18.26,51.39
22.06,49.54
20.42,51.47
20.36,52.12
16.35,53.57
20.57,49.43
15.05,51.57
18.58,52.46
19.16,53.17
20.25,49.58
23.02,52.39
20.02,52.31
21.23,50.51
20.57,50.57
15.03,52.41
21.15,50.39
21.57,49.59
22.25,52.43
15.49,51.57
16.45,51.42
21.57,50.26
20.53,50.16
18.12,51.12
15.34,51.16
20.10,52.05
18.54,52.28
17.15,51.55
22.32,51.44
20.42,51.19
21.21,50.23
19.45,52.31
21.46,51.57
22.17,51.06
20.42,50.06
17.23,54.13
19.50,54.23
22.50,52.45
21.36,52.37
18.27,51.30
16.53,52.09
19.24,53.15
21.14,51.02
15.21,53.57
21.51,52.42
19.38,51.40
19.29,52.40
18.36,52.06
17.44,53.53
20.43,52.08
16.43,51.16
20.37,49.58
18.53,52.37
23.42,52.06
18.16,51.36
19.45,51.48
15.24,51.43
18.38,51.30
15.47,53.42
21.25,49.53
19.36,53.19
22.02,49.42
19.15,53.03
21.23,49.49
19.10,51.30
21.53,54.15
16.59,52.54
16.31,52.22
18.14,53.26
19.26,50.16
20.07,52.33
18.50,51.27
20.48,50.28
22.33,51.01
18.13,51.07
18.00,53.07
15.09,52.09
15.50,51.44
18.35,52.34
17.30,54.10
18.51,54.15
21.44,52.09
18.01,53.35
18.18,51.53
21.23,52.03
22.14,52.38
17.44,54.27
19.56,50.25
19.56,52.11
23.29,51.08
19.14,50.06
20.40,49.38
18.26,53.21
18.36,53.12
20.27,50.48
20.46,51.15
22.41,49.57
20.45,50.37
22.07,49.59
18.06,54.20
19.01,52.30
15.54,51.25
15.19,53.27
17.53,51.58
17.53,54.45
19.02,52.24
22.08,51.07
19.02,52.15
16.55,52.59
17.33,53.42
15.56,51.17
22.59,53.09
21.41,49.39
22.59,53.09
20.53,53.16
15.24,53.10
21.45,52.14
19.15,53.57
19.24,50.08
22.36,50.46
18.04,50.40
16.14,52.38
21.05,51.54
22.30,52.41
20.38,52.52
18.56,53.04
18.47,52.53
20.21,51.43
21.35,51.15
23.08,50.14
17.22,51.38
20.58,49.48
21.45,50.18
23.08,51.18
18.21,51.29
16.14,53.33
21.15,50.04
22.12,50.07
23.18,53.18
17.34,54.22
16.56,53.42
21.11,53.21
16.34,52.54
20.31,50.21
19.41,51.35
18.34,51.17
18.20,51.16
20.41,49.50
22.38,51.41
16.45,52.08
23.21,52.31
21.20,50.20
17.45,51.57
17.15,51.03
20.43,53.02
17.29,52.26
20.10,51.39
18.56,52.57
17.58,53.48
15.26,52.01
21.46,52.57
20.18,52.23
16.59,52.28
21.12,52.53
19.07,50.48
16.06,53.05
17.21,53.41
20.43,52.24
21.51,49.57
23.26,52.47
22.18,52.48
21.31,50.54
20.48,50.48
19.06,51.53
17.30,52.50
17.17,54.30
16.24,54.25
19.11,52.09
18.49,52.05
15.10,52.01
17.57,52.44
23.21,53.39
18.32,52.47
18.18,53.11
19.16,50.19
20.59,50.11
19.33,50.51
19.05,52.19
21.17,52.29
20.03,53.26
17.14,53.33
15.18,52.40
21.26,52.12
21.25,50.03
21.52,51.34
17.10,54.23
20.43,49.58
23.01,51.36
19.06,53.15
21.28,49.41
17.12,51.10
21.36,52.46
19.24,51.33
19.45,51.55
20.06,49.53
15.45,52.58
18.37,51.55
20.15,49.43
15.18,53.34
18.09,53.16
21.41,52.19
18.33,52.41
20.24,53.59
22.47,49.34
17.21,51.16
19.25,51.09
15.25,53.21
19.37,52.14
17.37,51.52
23.03,53.12
19.20,52.39
15.12,53.11
17.04,51.59
19.48,52.01
21.59,49.48
17.53,51.03
17.22,52.18
16.40,52.21
23.49,51.09
18.05,51.25
18.44,53.30
15.45,53.13
16.02,52.51
15.48,53.32
22.53,51.55
15.49,52.51
19.59,52.44
22.39,52.24
19.24,51.27
20.26,50.06
20.28,51.27
18.19,53.31
22.34,54.18
23.26,52.39
22.24,49.50
23.53,51.03
21.41,49.33
16.24,52.27
21.47,50.44
22.12,49.41
15.43,54.08
22.14,49.49
20.29,53.50
22.54,52.34
17.42,51.14
20.11,53.14
20.21,50.22
18.52,51.07
17.47,54.01
20.14,52.38
19.21,53.56
20.39,53.09
22.05,50.58
22.35,50.42
20.58,53.42
19.24,54.10
22.21,53.29
19.06,52.43
22.57,51.06
20.06,51.08
22.37,54.11
22.31,51.34
